"","Date","HomeTeam","AwayTeam","FTHG","FTAG","Resultado"
"1420",2022-03-18,"Ath Bilbao","Getafe",1,1,"Empate"
"1421",2022-03-19,"Alaves","Granada",2,3,"Victoria Visitante"
"1422",2022-03-19,"Elche","Valencia",0,1,"Victoria Visitante"
"1423",2022-03-19,"Osasuna","Levante",3,1,"Victoria Local"
"1424",2022-03-19,"Vallecano","Ath Madrid",0,1,"Victoria Visitante"
"1425",2022-03-20,"Espanol","Mallorca",1,0,"Victoria Local"
"1426",2022-03-20,"Cadiz","Villarreal",1,0,"Victoria Local"
"1427",2022-03-20,"Celta","Betis",0,0,"Empate"
"1428",2022-03-20,"Sevilla","Sociedad",0,0,"Empate"
"1429",2022-03-20,"Real Madrid","Barcelona",0,4,"Victoria Visitante"
"1430",2022-04-02,"Getafe","Mallorca",1,0,"Victoria Local"
"1431",2022-04-02,"Levante","Villarreal",2,0,"Victoria Local"
"1432",2022-04-02,"Celta","Real Madrid",1,2,"Victoria Visitante"
"1433",2022-04-02,"Ath Madrid","Alaves",4,1,"Victoria Local"
"1434",2022-04-03,"Ath Bilbao","Elche",2,1,"Victoria Local"
"1435",2022-04-03,"Betis","Osasuna",4,1,"Victoria Local"
"1436",2022-04-03,"Granada","Vallecano",2,2,"Empate"
"1437",2022-04-03,"Valencia","Cadiz",0,0,"Empate"
"1438",2022-04-03,"Barcelona","Sevilla",1,0,"Victoria Local"
"1439",2022-04-04,"Sociedad","Espanol",1,0,"Victoria Local"
"1440",2022-04-08,"Sevilla","Granada",4,2,"Victoria Local"
"1441",2022-04-09,"Cadiz","Betis",1,2,"Victoria Visitante"
"1442",2022-04-09,"Mallorca","Ath Madrid",1,0,"Victoria Local"
"1443",2022-04-09,"Villarreal","Ath Bilbao",1,1,"Empate"
"1444",2022-04-09,"Real Madrid","Getafe",2,0,"Victoria Local"
"1445",2022-04-10,"Osasuna","Alaves",1,0,"Victoria Local"
"1446",2022-04-10,"Espanol","Celta",1,0,"Victoria Local"
"1447",2022-04-10,"Elche","Sociedad",1,2,"Victoria Visitante"
"1448",2022-04-10,"Levante","Barcelona",2,3,"Victoria Visitante"
"1449",2022-04-11,"Vallecano","Valencia",1,1,"Empate"
"1450",2022-04-15,"Sociedad","Betis",0,0,"Empate"
"1451",2022-04-16,"Elche","Mallorca",3,0,"Victoria Local"
"1452",2022-04-16,"Alaves","Vallecano",1,0,"Victoria Local"
"1453",2022-04-16,"Valencia","Osasuna",1,2,"Victoria Visitante"
"1454",2022-04-16,"Getafe","Villarreal",1,2,"Victoria Visitante"
"1455",2022-04-17,"Granada","Levante",1,4,"Victoria Visitante"
"1456",2022-04-17,"Ath Madrid","Espanol",2,1,"Victoria Local"
"1457",2022-04-17,"Ath Bilbao","Celta",0,2,"Victoria Visitante"
"1458",2022-04-17,"Sevilla","Real Madrid",2,3,"Victoria Visitante"
"1459",2022-04-18,"Barcelona","Cadiz",0,1,"Victoria Visitante"
"1460",2022-04-19,"Mallorca","Alaves",2,1,"Victoria Local"
"1461",2022-04-19,"Betis","Elche",0,1,"Victoria Visitante"
"1462",2022-04-19,"Villarreal","Valencia",2,0,"Victoria Local"
"1463",2022-04-20,"Ath Madrid","Granada",0,0,"Empate"
"1464",2022-04-20,"Celta","Getafe",0,2,"Victoria Visitante"
"1465",2022-04-20,"Osasuna","Real Madrid",1,3,"Victoria Visitante"
"1466",2022-04-21,"Espanol","Vallecano",0,1,"Victoria Visitante"
"1467",2022-04-21,"Levante","Sevilla",2,3,"Victoria Visitante"
"1468",2022-04-21,"Cadiz","Ath Bilbao",2,3,"Victoria Visitante"
"1469",2022-04-21,"Sociedad","Barcelona",0,1,"Victoria Visitante"
"1470",2022-04-24,"Barcelona","Vallecano",0,1,"Victoria Visitante"
"1471",2022-04-29,"Sevilla","Cadiz",1,1,"Empate"
"1472",2022-04-30,"Alaves","Villarreal",2,1,"Victoria Local"
"1473",2022-04-30,"Real Madrid","Espanol",4,0,"Victoria Local"
"1474",2022-04-30,"Valencia","Levante",1,1,"Empate"
"1475",2022-04-30,"Ath Bilbao","Ath Madrid",2,0,"Victoria Local"
"1476",2022-05-01,"Elche","Osasuna",1,1,"Empate"
"1477",2022-05-01,"Granada","Celta",1,1,"Empate"
"1478",2022-05-01,"Vallecano","Sociedad",1,1,"Empate"
"1479",2022-05-01,"Barcelona","Mallorca",2,1,"Victoria Local"
"1480",2022-05-02,"Getafe","Betis",0,0,"Empate"
"1481",2022-05-06,"Levante","Sociedad",2,1,"Victoria Local"
"1482",2022-05-07,"Mallorca","Granada",2,6,"Victoria Visitante"
"1483",2022-05-07,"Ath Bilbao","Valencia",0,0,"Empate"
"1484",2022-05-07,"Cadiz","Elche",3,0,"Victoria Local"
"1485",2022-05-07,"Celta","Alaves",4,0,"Victoria Local"
"1486",2022-05-07,"Betis","Barcelona",1,2,"Victoria Visitante"
"1487",2022-05-08,"Getafe","Vallecano",0,0,"Empate"
"1488",2022-05-08,"Villarreal","Sevilla",1,1,"Empate"
"1489",2022-05-08,"Espanol","Osasuna",1,1,"Empate"
"1490",2022-05-08,"Ath Madrid","Real Madrid",1,0,"Victoria Local"
"1491",2022-05-10,"Valencia","Betis",0,3,"Victoria Visitante"
"1492",2022-05-10,"Granada","Ath Bilbao",1,0,"Victoria Local"
"1493",2022-05-10,"Barcelona","Celta",3,1,"Victoria Local"
"1494",2022-05-11,"Alaves","Espanol",2,1,"Victoria Local"
"1495",2022-05-11,"Osasuna","Getafe",1,1,"Empate"
"1496",2022-05-11,"Sevilla","Mallorca",0,0,"Empate"
"1497",2022-05-11,"Elche","Ath Madrid",0,2,"Victoria Visitante"
"1498",2022-05-12,"Sociedad","Cadiz",3,0,"Victoria Local"
"1499",2022-05-12,"Vallecano","Villarreal",1,5,"Victoria Visitante"
"1500",2022-05-12,"Real Madrid","Levante",6,0,"Victoria Local"
"1501",2022-05-14,"Espanol","Valencia",1,1,"Empate"
"1502",2022-05-15,"Ath Bilbao","Osasuna",2,0,"Victoria Local"
"1503",2022-05-15,"Ath Madrid","Sevilla",1,1,"Empate"
"1504",2022-05-15,"Betis","Granada",2,0,"Victoria Local"
"1505",2022-05-15,"Cadiz","Real Madrid",1,1,"Empate"
"1506",2022-05-15,"Celta","Elche",1,0,"Victoria Local"
"1507",2022-05-15,"Getafe","Barcelona",0,0,"Empate"
"1508",2022-05-15,"Levante","Alaves",3,1,"Victoria Local"
"1509",2022-05-15,"Mallorca","Vallecano",2,1,"Victoria Local"
"1510",2022-05-15,"Villarreal","Sociedad",1,2,"Victoria Visitante"
"1511",2022-05-20,"Real Madrid","Betis",0,0,"Empate"
"1512",2022-05-20,"Vallecano","Levante",2,4,"Victoria Visitante"
"1513",2022-05-21,"Valencia","Celta",2,0,"Victoria Local"
"1514",2022-05-22,"Elche","Getafe",3,1,"Victoria Local"
"1515",2022-05-22,"Alaves","Cadiz",0,1,"Victoria Visitante"
"1516",2022-05-22,"Granada","Espanol",0,0,"Empate"
"1517",2022-05-22,"Osasuna","Mallorca",0,2,"Victoria Visitante"
"1518",2022-05-22,"Barcelona","Villarreal",0,2,"Victoria Visitante"
"1519",2022-05-22,"Sevilla","Ath Bilbao",1,0,"Victoria Local"
"1520",2022-05-22,"Sociedad","Ath Madrid",1,2,"Victoria Visitante"
"1521",2022-08-12,"Osasuna","Sevilla",2,1,"Victoria Local"
"1522",2022-08-13,"Celta","Espanol",2,2,"Empate"
"1523",2022-08-13,"Valladolid","Villarreal",0,3,"Victoria Visitante"
"1524",2022-08-13,"Barcelona","Vallecano",0,0,"Empate"
"1525",2022-08-14,"Cadiz","Sociedad",0,1,"Victoria Visitante"
"1526",2022-08-14,"Valencia","Girona",1,0,"Victoria Local"
"1527",2022-08-14,"Almeria","Real Madrid",1,2,"Victoria Visitante"
"1528",2022-08-15,"Ath Bilbao","Mallorca",0,0,"Empate"
"1529",2022-08-15,"Getafe","Ath Madrid",0,3,"Victoria Visitante"
"1530",2022-08-15,"Betis","Elche",3,0,"Victoria Local"
"1531",2022-08-19,"Espanol","Vallecano",0,2,"Victoria Visitante"
"1532",2022-08-19,"Sevilla","Valladolid",1,1,"Empate"
"1533",2022-08-20,"Osasuna","Cadiz",2,0,"Victoria Local"
"1534",2022-08-20,"Mallorca","Betis",1,2,"Victoria Visitante"
"1535",2022-08-20,"Celta","Real Madrid",1,4,"Victoria Visitante"
"1536",2022-08-21,"Ath Bilbao","Valencia",1,0,"Victoria Local"
"1537",2022-08-21,"Ath Madrid","Villarreal",0,2,"Victoria Visitante"
"1538",2022-08-21,"Sociedad","Barcelona",1,4,"Victoria Visitante"
"1539",2022-08-22,"Elche","Almeria",1,1,"Empate"
"1540",2022-08-22,"Girona","Getafe",3,1,"Victoria Local"
"1541",2022-08-26,"Girona","Celta",0,1,"Victoria Visitante"
"1542",2022-08-26,"Betis","Osasuna",1,0,"Victoria Local"
"1543",2022-08-27,"Elche","Sociedad",0,1,"Victoria Visitante"
"1544",2022-08-27,"Vallecano","Mallorca",0,2,"Victoria Visitante"
"1545",2022-08-27,"Almeria","Sevilla",2,1,"Victoria Local"
"1546",2022-08-28,"Getafe","Villarreal",0,0,"Empate"
"1547",2022-08-28,"Barcelona","Valladolid",4,0,"Victoria Local"
"1548",2022-08-28,"Espanol","Real Madrid",1,3,"Victoria Visitante"
"1549",2022-08-29,"Cadiz","Ath Bilbao",0,4,"Victoria Visitante"
"1550",2022-08-29,"Valencia","Ath Madrid",0,1,"Victoria Visitante"
"1551",2022-09-02,"Celta","Cadiz",3,0,"Victoria Local"
"1552",2022-09-03,"Mallorca","Girona",1,1,"Empate"
"1553",2022-09-03,"Real Madrid","Betis",2,1,"Victoria Local"
"1554",2022-09-03,"Sociedad","Ath Madrid",1,1,"Empate"
"1555",2022-09-03,"Sevilla","Barcelona",0,3,"Victoria Visitante"
"1556",2022-09-04,"Osasuna","Vallecano",2,1,"Victoria Local"
"1557",2022-09-04,"Ath Bilbao","Espanol",0,1,"Victoria Visitante"
"1558",2022-09-04,"Villarreal","Elche",4,0,"Victoria Local"
"1559",2022-09-04,"Valencia","Getafe",5,1,"Victoria Local"
"1560",2022-09-05,"Valladolid","Almeria",1,0,"Victoria Local"
"1561",2022-09-09,"Girona","Valladolid",2,1,"Victoria Local"
"1562",2022-09-10,"Vallecano","Valencia",2,1,"Victoria Local"
"1563",2022-09-10,"Espanol","Sevilla",2,3,"Victoria Visitante"
"1564",2022-09-10,"Cadiz","Barcelona",0,4,"Victoria Visitante"
"1565",2022-09-10,"Ath Madrid","Celta",4,1,"Victoria Local"
"1566",2022-09-11,"Real Madrid","Mallorca",4,1,"Victoria Local"
"1567",2022-09-11,"Elche","Ath Bilbao",1,4,"Victoria Visitante"
"1568",2022-09-11,"Getafe","Sociedad",2,1,"Victoria Local"
"1569",2022-09-11,"Betis","Villarreal",1,0,"Victoria Local"
"1570",2022-09-12,"Almeria","Osasuna",0,1,"Victoria Visitante"
"1571",2022-09-16,"Valladolid","Cadiz",0,1,"Victoria Visitante"
"1572",2022-09-17,"Mallorca","Almeria",1,0,"Victoria Local"
"1573",2022-09-17,"Barcelona","Elche",3,0,"Victoria Local"
"1574",2022-09-17,"Valencia","Celta",3,0,"Victoria Local"
"1575",2022-09-17,"Ath Bilbao","Vallecano",3,2,"Victoria Local"
"1576",2022-09-18,"Osasuna","Getafe",0,2,"Victoria Visitante"
"1577",2022-09-18,"Villarreal","Sevilla",1,1,"Empate"
"1578",2022-09-18,"Betis","Girona",2,1,"Victoria Local"
"1579",2022-09-18,"Sociedad","Espanol",2,1,"Victoria Local"
"1580",2022-09-18,"Ath Madrid","Real Madrid",1,2,"Victoria Visitante"
"1581",2022-09-30,"Ath Bilbao","Almeria",4,0,"Victoria Local"
"1582",2022-10-01,"Cadiz","Villarreal",0,0,"Empate"
"1583",2022-10-01,"Getafe","Valladolid",2,3,"Victoria Visitante"
"1584",2022-10-01,"Sevilla","Ath Madrid",0,2,"Victoria Visitante"
"1585",2022-10-01,"Mallorca","Barcelona",0,1,"Victoria Visitante"
"1586",2022-10-02,"Espanol","Valencia",2,2,"Empate"
"1587",2022-10-02,"Celta","Betis",1,0,"Victoria Local"
"1588",2022-10-02,"Girona","Sociedad",3,5,"Victoria Visitante"
"1589",2022-10-02,"Real Madrid","Osasuna",1,1,"Empate"
"1590",2022-10-03,"Vallecano","Elche",2,1,"Victoria Local"
"1591",2022-10-07,"Osasuna","Valencia",1,2,"Victoria Visitante"
"1592",2022-10-08,"Almeria","Vallecano",3,1,"Victoria Local"
"1593",2022-10-08,"Ath Madrid","Girona",2,1,"Victoria Local"
"1594",2022-10-08,"Sevilla","Ath Bilbao",1,1,"Empate"
"1595",2022-10-08,"Getafe","Real Madrid",0,1,"Victoria Visitante"
"1596",2022-10-09,"Valladolid","Betis",0,0,"Empate"
"1597",2022-10-09,"Cadiz","Espanol",2,2,"Empate"
"1598",2022-10-09,"Sociedad","Villarreal",1,0,"Victoria Local"
"1599",2022-10-09,"Barcelona","Celta",1,0,"Victoria Local"
"1600",2022-10-10,"Elche","Mallorca",1,1,"Empate"
"1601",2022-10-14,"Vallecano","Getafe",0,0,"Empate"
"1602",2022-10-15,"Girona","Cadiz",1,1,"Empate"
"1603",2022-10-15,"Valencia","Elche",2,2,"Empate"
"1604",2022-10-15,"Mallorca","Sevilla",0,1,"Victoria Visitante"
"1605",2022-10-15,"Ath Bilbao","Ath Madrid",0,1,"Victoria Visitante"
"1606",2022-10-16,"Celta","Sociedad",1,2,"Victoria Visitante"
"1607",2022-10-16,"Real Madrid","Barcelona",3,1,"Victoria Local"
"1608",2022-10-16,"Espanol","Valladolid",1,0,"Victoria Local"
"1609",2022-10-16,"Betis","Almeria",3,1,"Victoria Local"
"1610",2022-10-17,"Villarreal","Osasuna",2,0,"Victoria Local"
"1611",2022-10-18,"Sevilla","Valencia",1,1,"Empate"
"1612",2022-10-18,"Getafe","Ath Bilbao",2,2,"Empate"
"1613",2022-10-18,"Ath Madrid","Vallecano",1,1,"Empate"
"1614",2022-10-19,"Cadiz","Betis",0,0,"Empate"
"1615",2022-10-19,"Valladolid","Celta",4,1,"Victoria Local"
"1616",2022-10-19,"Sociedad","Mallorca",1,0,"Victoria Local"
"1617",2022-10-19,"Elche","Real Madrid",0,3,"Victoria Visitante"
"1618",2022-10-20,"Almeria","Girona",3,2,"Victoria Local"
"1619",2022-10-20,"Osasuna","Espanol",1,0,"Victoria Local"
"1620",2022-10-20,"Barcelona","Villarreal",3,0,"Victoria Local"
"1621",2022-10-22,"Vallecano","Cadiz",5,1,"Victoria Local"
"1622",2022-10-22,"Valladolid","Sociedad",1,0,"Victoria Local"
"1623",2022-10-22,"Valencia","Mallorca",1,2,"Victoria Visitante"
"1624",2022-10-22,"Real Madrid","Sevilla",3,1,"Victoria Local"
"1625",2022-10-23,"Espanol","Elche",2,2,"Empate"
"1626",2022-10-23,"Betis","Ath Madrid",1,2,"Victoria Visitante"
"1627",2022-10-23,"Girona","Osasuna",1,1,"Empate"
"1628",2022-10-23,"Villarreal","Almeria",2,1,"Victoria Local"
"1629",2022-10-23,"Barcelona","Ath Bilbao",4,0,"Victoria Local"
"1630",2022-10-24,"Celta","Getafe",1,1,"Empate"
"1631",2022-10-28,"Mallorca","Espanol",1,1,"Empate"
"1632",2022-10-29,"Almeria","Celta",3,1,"Victoria Local"
"1633",2022-10-29,"Cadiz","Ath Madrid",3,2,"Victoria Local"
"1634",2022-10-29,"Sevilla","Vallecano",0,1,"Victoria Visitante"
"1635",2022-10-29,"Valencia","Barcelona",0,1,"Victoria Visitante"
"1636",2022-10-30,"Osasuna","Valladolid",2,0,"Victoria Local"
"1637",2022-10-30,"Real Madrid","Girona",1,1,"Empate"
"1638",2022-10-30,"Ath Bilbao","Villarreal",1,0,"Victoria Local"
"1639",2022-10-30,"Sociedad","Betis",0,2,"Victoria Visitante"
"1640",2022-10-31,"Elche","Getafe",0,1,"Victoria Visitante"
"1641",2022-11-04,"Girona","Ath Bilbao",2,1,"Victoria Local"
"1642",2022-11-05,"Getafe","Cadiz",0,0,"Empate"
"1643",2022-11-05,"Valladolid","Elche",2,1,"Victoria Local"
"1644",2022-11-05,"Celta","Osasuna",1,2,"Victoria Visitante"
"1645",2022-11-05,"Barcelona","Almeria",2,0,"Victoria Local"
"1646",2022-11-06,"Ath Madrid","Espanol",1,1,"Empate"
"1647",2022-11-06,"Sociedad","Valencia",1,1,"Empate"
"1648",2022-11-06,"Villarreal","Mallorca",0,2,"Victoria Visitante"
"1649",2022-11-06,"Betis","Sevilla",1,1,"Empate"
"1650",2022-11-07,"Vallecano","Real Madrid",3,2,"Victoria Local"
"1651",2022-11-08,"Elche","Girona",1,2,"Victoria Visitante"
"1652",2022-11-08,"Ath Bilbao","Valladolid",3,0,"Victoria Local"
"1653",2022-11-08,"Osasuna","Barcelona",1,2,"Victoria Visitante"
"1654",2022-11-09,"Almeria","Getafe",1,0,"Victoria Local"
"1655",2022-11-09,"Sevilla","Sociedad",1,2,"Victoria Visitante"
"1656",2022-11-09,"Espanol","Villarreal",0,1,"Victoria Visitante"
"1657",2022-11-09,"Mallorca","Ath Madrid",1,0,"Victoria Local"
"1658",2022-11-10,"Vallecano","Celta",0,0,"Empate"
"1659",2022-11-10,"Valencia","Betis",3,0,"Victoria Local"
"1660",2022-11-10,"Real Madrid","Cadiz",2,1,"Victoria Local"
"1661",2022-12-29,"Girona","Vallecano",2,2,"Empate"
"1662",2022-12-29,"Betis","Ath Bilbao",0,0,"Empate"
"1663",2022-12-29,"Ath Madrid","Elche",2,0,"Victoria Local"
"1664",2022-12-30,"Getafe","Mallorca",2,0,"Victoria Local"
"1665",2022-12-30,"Cadiz","Almeria",1,1,"Empate"
"1666",2022-12-30,"Celta","Sevilla",1,1,"Empate"
"1667",2022-12-30,"Valladolid","Real Madrid",0,2,"Victoria Visitante"
"1668",2022-12-31,"Barcelona","Espanol",1,1,"Empate"
"1669",2022-12-31,"Sociedad","Osasuna",2,0,"Victoria Local"
"1670",2022-12-31,"Villarreal","Valencia",2,1,"Victoria Local"
"1671",2023-01-06,"Elche","Celta",0,1,"Victoria Visitante"
"1672",2023-01-06,"Valencia","Cadiz",0,1,"Victoria Visitante"
"1673",2023-01-07,"Villarreal","Real Madrid",2,1,"Victoria Local"
"1674",2023-01-07,"Mallorca","Valladolid",1,0,"Victoria Local"
"1675",2023-01-07,"Espanol","Girona",2,2,"Empate"
"1676",2023-01-08,"Almeria","Sociedad",0,2,"Victoria Visitante"
"1677",2023-01-08,"Vallecano","Betis",1,2,"Victoria Visitante"
"1678",2023-01-08,"Sevilla","Getafe",2,1,"Victoria Local"
"1679",2023-01-08,"Ath Madrid","Barcelona",0,1,"Victoria Visitante"
"1680",2023-01-09,"Ath Bilbao","Osasuna",0,0,"Empate"
"1681",2023-01-13,"Celta","Villarreal",1,1,"Empate"
"1682",2023-01-14,"Valladolid","Vallecano",0,1,"Victoria Visitante"
"1683",2023-01-14,"Girona","Sevilla",2,1,"Victoria Local"
"1684",2023-01-14,"Osasuna","Mallorca",1,0,"Victoria Local"
"1685",2023-01-14,"Sociedad","Ath Bilbao",3,1,"Victoria Local"
"1686",2023-01-15,"Getafe","Espanol",1,2,"Victoria Visitante"
"1687",2023-01-15,"Almeria","Ath Madrid",1,1,"Empate"
"1688",2023-01-16,"Cadiz","Elche",1,1,"Empate"
"1689",2023-01-20,"Mallorca","Celta",1,0,"Victoria Local"
"1690",2023-01-21,"Vallecano","Sociedad",0,2,"Victoria Visitante"
"1691",2023-01-21,"Espanol","Betis",1,0,"Victoria Local"
"1692",2023-01-21,"Ath Madrid","Valladolid",3,0,"Victoria Local"
"1693",2023-01-21,"Sevilla","Cadiz",1,0,"Victoria Local"
"1694",2023-01-22,"Villarreal","Girona",1,0,"Victoria Local"
"1695",2023-01-22,"Elche","Osasuna",1,1,"Empate"
"1696",2023-01-22,"Barcelona","Getafe",1,0,"Victoria Local"
"1697",2023-01-22,"Ath Bilbao","Real Madrid",0,2,"Victoria Visitante"
"1698",2023-01-23,"Valencia","Almeria",2,2,"Empate"
"1699",2023-01-27,"Almeria","Espanol",3,1,"Victoria Local"
"1700",2023-01-28,"Cadiz","Mallorca",2,0,"Victoria Local"
"1701",2023-01-28,"Girona","Barcelona",0,1,"Victoria Visitante"
"1702",2023-01-28,"Sevilla","Elche",3,0,"Victoria Local"
"1703",2023-01-28,"Getafe","Betis",0,1,"Victoria Visitante"
"1704",2023-01-29,"Valladolid","Valencia",1,0,"Victoria Local"
"1705",2023-01-29,"Osasuna","Ath Madrid",0,1,"Victoria Visitante"
"1706",2023-01-29,"Celta","Ath Bilbao",1,0,"Victoria Local"
"1707",2023-01-29,"Real Madrid","Sociedad",0,0,"Empate"
"1708",2023-01-30,"Villarreal","Vallecano",0,1,"Victoria Visitante"
"1709",2023-02-01,"Betis","Barcelona",1,2,"Victoria Visitante"
"1710",2023-02-02,"Real Madrid","Valencia",2,0,"Victoria Local"
"1711",2023-02-03,"Ath Bilbao","Cadiz",4,1,"Victoria Local"
"1712",2023-02-04,"Espanol","Osasuna",1,1,"Empate"
"1713",2023-02-04,"Elche","Villarreal",3,1,"Victoria Local"
"1714",2023-02-04,"Ath Madrid","Getafe",1,1,"Empate"
"1715",2023-02-04,"Betis","Celta",3,4,"Victoria Visitante"
"1716",2023-02-05,"Mallorca","Real Madrid",1,0,"Victoria Local"
"1717",2023-02-05,"Girona","Valencia",1,0,"Victoria Local"
"1718",2023-02-05,"Sociedad","Valladolid",0,1,"Victoria Visitante"
"1719",2023-02-05,"Barcelona","Sevilla",3,0,"Victoria Local"
"1720",2023-02-06,"Vallecano","Almeria",2,0,"Victoria Local"
"1721",2023-02-10,"Cadiz","Girona",2,0,"Victoria Local"
"1722",2023-02-11,"Almeria","Betis",2,3,"Victoria Visitante"
"1723",2023-02-11,"Sevilla","Mallorca",2,0,"Victoria Local"
"1724",2023-02-11,"Valencia","Ath Bilbao",1,2,"Victoria Visitante"
"1725",2023-02-12,"Getafe","Vallecano",1,1,"Empate"
"1726",2023-02-12,"Celta","Ath Madrid",0,1,"Victoria Visitante"
"1727",2023-02-12,"Valladolid","Osasuna",0,0,"Empate"
"1728",2023-02-12,"Villarreal","Barcelona",0,1,"Victoria Visitante"
"1729",2023-02-13,"Espanol","Sociedad",2,3,"Victoria Visitante"
"1730",2023-02-15,"Real Madrid","Elche",4,0,"Victoria Local"
"1731",2023-02-17,"Girona","Almeria",6,2,"Victoria Local"
"1732",2023-02-18,"Sociedad","Celta",1,1,"Empate"
"1733",2023-02-18,"Betis","Valladolid",2,1,"Victoria Local"
"1734",2023-02-18,"Mallorca","Villarreal",4,2,"Victoria Local"
"1735",2023-02-18,"Osasuna","Real Madrid",0,2,"Victoria Visitante"
"1736",2023-02-19,"Elche","Espanol",0,1,"Victoria Visitante"
"1737",2023-02-19,"Vallecano","Sevilla",1,1,"Empate"
"1738",2023-02-19,"Ath Madrid","Ath Bilbao",1,0,"Victoria Local"
"1739",2023-02-19,"Barcelona","Cadiz",2,0,"Victoria Local"
"1740",2023-02-20,"Getafe","Valencia",1,0,"Victoria Local"
"1741",2023-02-24,"Elche","Betis",2,3,"Victoria Visitante"
"1742",2023-02-25,"Espanol","Mallorca",2,1,"Victoria Local"
"1743",2023-02-25,"Cadiz","Vallecano",1,0,"Victoria Local"
"1744",2023-02-25,"Real Madrid","Ath Madrid",1,1,"Empate"
"1745",2023-02-25,"Valencia","Sociedad",1,0,"Victoria Local"
"1746",2023-02-26,"Ath Bilbao","Girona",2,3,"Victoria Visitante"
"1747",2023-02-26,"Celta","Valladolid",3,0,"Victoria Local"
"1748",2023-02-26,"Almeria","Barcelona",1,0,"Victoria Local"
"1749",2023-02-26,"Sevilla","Osasuna",2,3,"Victoria Visitante"
"1750",2023-02-27,"Villarreal","Getafe",2,1,"Victoria Local"
"1751",2023-03-03,"Sociedad","Cadiz",0,0,"Empate"
"1752",2023-03-04,"Getafe","Girona",3,2,"Victoria Local"
"1753",2023-03-04,"Almeria","Villarreal",0,2,"Victoria Visitante"
"1754",2023-03-04,"Mallorca","Elche",0,1,"Victoria Visitante"
"1755",2023-03-04,"Ath Madrid","Sevilla",6,1,"Victoria Local"
"1756",2023-03-05,"Valladolid","Espanol",2,1,"Victoria Local"
"1757",2023-03-05,"Barcelona","Valencia",1,0,"Victoria Local"
"1758",2023-03-05,"Vallecano","Ath Bilbao",0,0,"Empate"
"1759",2023-03-05,"Betis","Real Madrid",0,0,"Empate"
"1760",2023-03-06,"Osasuna","Celta",0,0,"Empate"
"1761",2023-03-10,"Cadiz","Getafe",2,2,"Empate"
"1762",2023-03-11,"Real Madrid","Espanol",3,1,"Victoria Local"
"1763",2023-03-11,"Elche","Valladolid",1,1,"Empate"
"1764",2023-03-11,"Celta","Vallecano",3,0,"Victoria Local"
"1765",2023-03-11,"Valencia","Osasuna",1,0,"Victoria Local"
"1766",2023-03-12,"Mallorca","Sociedad",1,1,"Empate"
"1767",2023-03-12,"Sevilla","Almeria",2,1,"Victoria Local"
"1768",2023-03-12,"Villarreal","Betis",1,1,"Empate"
"1769",2023-03-12,"Ath Bilbao","Barcelona",0,1,"Victoria Visitante"
"1770",2023-03-13,"Girona","Ath Madrid",0,1,"Victoria Visitante"
"1771",2023-03-17,"Valladolid","Ath Bilbao",1,3,"Victoria Visitante"
"1772",2023-03-18,"Almeria","Cadiz",1,1,"Empate"
"1773",2023-03-18,"Vallecano","Girona",2,2,"Empate"
"1774",2023-03-18,"Espanol","Celta",1,3,"Victoria Visitante"
"1775",2023-03-18,"Ath Madrid","Valencia",3,0,"Victoria Local"
"1776",2023-03-19,"Betis","Mallorca",1,0,"Victoria Local"
"1777",2023-03-19,"Osasuna","Villarreal",0,3,"Victoria Visitante"
"1778",2023-03-19,"Sociedad","Elche",2,0,"Victoria Local"
"1779",2023-03-19,"Getafe","Sevilla",2,0,"Victoria Local"
"1780",2023-03-19,"Barcelona","Real Madrid",2,1,"Victoria Local"
"1781",2023-03-31,"Mallorca","Osasuna",0,0,"Empate"
"1782",2023-04-01,"Girona","Espanol",2,1,"Victoria Local"
"1783",2023-04-01,"Ath Bilbao","Getafe",0,0,"Empate"
"1784",2023-04-01,"Cadiz","Sevilla",0,2,"Victoria Visitante"
"1785",2023-04-01,"Elche","Barcelona",0,4,"Victoria Visitante"
"1786",2023-04-02,"Celta","Almeria",2,2,"Empate"
"1787",2023-04-02,"Real Madrid","Valladolid",6,0,"Victoria Local"
"1788",2023-04-02,"Villarreal","Sociedad",2,0,"Victoria Local"
"1789",2023-04-02,"Ath Madrid","Betis",1,0,"Victoria Local"
"1790",2023-04-03,"Valencia","Vallecano",1,1,"Empate"
"1791",2023-04-07,"Sevilla","Celta",2,2,"Empate"
"1792",2023-04-08,"Osasuna","Elche",2,1,"Victoria Local"
"1793",2023-04-08,"Espanol","Ath Bilbao",1,2,"Victoria Visitante"
"1794",2023-04-08,"Sociedad","Getafe",2,0,"Victoria Local"
"1795",2023-04-08,"Real Madrid","Villarreal",2,3,"Victoria Visitante"
"1796",2023-04-09,"Valladolid","Mallorca",3,3,"Empate"
"1797",2023-04-09,"Betis","Cadiz",0,2,"Victoria Visitante"
"1798",2023-04-09,"Almeria","Valencia",2,1,"Victoria Local"
"1799",2023-04-09,"Vallecano","Ath Madrid",1,2,"Victoria Visitante"
"1800",2023-04-10,"Barcelona","Girona",0,0,"Empate"
"1801",2023-04-14,"Vallecano","Osasuna",2,1,"Victoria Local"
"1802",2023-04-15,"Villarreal","Valladolid",1,2,"Victoria Visitante"
"1803",2023-04-15,"Ath Bilbao","Sociedad",2,0,"Victoria Local"
"1804",2023-04-15,"Betis","Espanol",3,1,"Victoria Local"
